From Date,To Date,CO(mg/m3),PM2.5(ug/m3),NOx(ppb),O3(ug/m3),Temperature,Humidity,Wind Speed,AT,BP
2024-05-10 12:27:58,2024-05-10 12:27:58,0.07046,19.1,5.2,15.916666666666666,33°,34°/28°,Wind Direction13 km/h,31°,Arrow Down1008.1 mb
2024-05-10 12:27:59,2024-05-10 12:27:59,0.23232,16.5,5.3,13.75,33°,34°/28°,Wind Direction13 km/h,31°,Arrow Down1008.1 mb
2024-05-10 12:28:00,2024-05-10 12:28:00,0.22069999999999998,16.9,5.3,14.083333333333334,33°,34°/28°,Wind Direction13 km/h,31°,Arrow Down1008.1 mb
2024-05-10 12:28:01,2024-05-10 12:28:01,0.22402,17.3,5.3,14.416666666666666,33°,34°/28°,Wind Direction13 km/h,31°,Arrow Down1008.1 mb
2024-05-10 12:28:01,2024-05-10 12:28:01,0.22069999999999998,17.2,5.2,14.333333333333334,33°,34°/28°,Wind Direction13 km/h,31°,Arrow Down1008.1 mb
2024-05-10 12:28:02,2024-05-10 12:28:02,0.22734000000000001,18.8,5.4,15.666666666666666,33°,34°/28°,Wind Direction13 km/h,31°,Arrow Down1008.1 mb
2024-05-10 12:28:03,2024-05-10 12:28:03,0.22236,19.4,5.3,16.166666666666668,33°,34°/28°,Wind Direction13 km/h,31°,Arrow Down1008.1 mb
2024-05-10 12:28:04,2024-05-10 12:28:04,0.22816999999999998,19.3,5.3,16.083333333333332,33°,34°/28°,Wind Direction13 km/h,31°,Arrow Down1008.1 mb
2024-05-10 12:28:06,2024-05-10 12:28:06,0.22485,19.3,5.3,16.083333333333332,33°,34°/28°,Wind Direction13 km/h,31°,Arrow Down1008.1 mb
2024-05-10 12:28:06,2024-05-10 12:28:06,0.24311000000000002,19.3,5.3,16.083333333333332,33°,34°/28°,Wind Direction13 km/h,31°,Arrow Down1008.1 mb
2024-05-10 12:28:07,2024-05-10 12:28:07,0.22319,19.3,5.3,16.083333333333332,33°,34°/28°,Wind Direction13 km/h,31°,Arrow Down1008.1 mb
