datetime,PM2.5 (ug/m3),CO (mg/m3),Ozone (ug/m3),NOx (ug/m3)
2017-09-26 00:00:00,19.5,1.07,8.05,4.5
2017-09-26 01:00:00,4.75,0.93,7.75,3.9
2017-09-26 02:00:00,18.5,0.84,7.53,3.78
2017-09-26 03:00:00,17.0,0.86,7.93,3.95
2017-09-26 04:00:00,16.75,0.88,7.25,4.48
2017-09-26 05:00:00,15.33,0.89,7.87,4.9
2017-09-26 06:00:00,16.25,0.95,7.8,4.25
2017-09-26 07:00:00,21.67,0.94,7.67,3.37
2017-09-26 08:00:00,19.0,1.04,7.43,6.0
2017-09-26 09:00:00,17.75,0.97,7.55,4.97
2017-09-26 10:00:00,18.5,1.36,7.65,7.88
2017-09-26 11:00:00,31.0,1.3,7.68,6.0
2017-09-26 12:00:00,25.33,1.15,7.67,6.33
2017-09-26 13:00:00,17.0,1.05,7.9,3.83
2017-09-26 14:00:00,8.0,1.06,7.87,5.0
2017-09-26 15:00:00,9.25,1.25,7.3,6.8
2017-09-26 16:00:00,14.25,0.92,7.63,6.95
2017-09-26 17:00:00,19.25,1.0,7.68,9.92
2017-09-26 18:00:00,25.5,1.02,7.58,10.45
2017-09-26 19:00:00,33.25,1.13,7.65,12.5
2017-09-26 20:00:00,31.5,1.18,7.7,11.48
2017-09-26 21:00:00,22.0,1.06,7.87,9.47
2017-09-26 22:00:00,20.75,0.87,7.6,5.88
2017-09-26 23:00:00,29.0,0.82,7.93,5.57
2017-09-27 00:00:00,32.25,0.78,7.42,4.35
2017-09-27 01:00:00,24.0,0.74,7.5,4.05
2017-09-27 02:00:00,14.25,0.72,8.08,4.35
2017-09-27 03:00:00,12.5,0.72,7.8,4.25
2017-09-27 04:00:00,11.67,0.87,7.77,3.5
2017-09-27 05:00:00,5.25,0.89,7.38,3.25
2017-09-27 06:00:00,2.5,1.02,7.67,3.83
2017-09-27 07:00:00,12.25,1.1,7.33,4.75
2017-09-27 08:00:00,19.0,0.95,7.43,5.08
2017-09-27 09:00:00,18.0,1.03,7.6,7.2
2017-09-27 10:00:00,14.0,0.9,7.9,5.5
2017-09-27 11:00:00,10.75,0.87,7.77,5.05
2017-09-27 12:00:00,10.0,1.02,7.98,3.17
2017-09-27 13:00:00,9.25,1.08,7.58,3.95
2017-09-27 14:00:00,5.75,1.05,7.9,3.85
2017-09-27 15:00:00,3.5,1.07,7.8,2.9
2017-09-27 16:00:00,8.75,1.02,7.9,3.73
2017-09-27 17:00:00,12.75,1.19,7.62,7.12
2017-09-27 18:00:00,19.75,1.21,7.6,9.88
2017-09-27 19:00:00,23.5,1.26,7.73,11.0
2017-09-27 20:00:00,18.75,1.05,8.15,6.82
2017-09-27 21:00:00,14.75,1.04,7.55,5.75
2017-09-27 22:00:00,5.75,0.83,7.6,5.2
2017-09-27 23:00:00,8.0,0.8,7.7,3.6
2017-09-28 00:00:00,8.0,0.8,7.7,3.6
2017-09-28 01:00:00,4.25,0.75,7.68,3.45
2017-09-28 02:00:00,4.25,0.75,7.68,3.45
2017-09-28 03:00:00,4.25,0.75,7.68,3.45
2017-09-28 04:00:00,4.25,0.75,7.68,3.45
2017-09-28 05:00:00,4.25,0.75,7.68,3.45
2017-09-28 06:00:00,5.0,0.9,7.65,4.55
2017-09-28 07:00:00,6.75,1.01,7.28,6.17
2017-09-28 08:00:00,16.0,1.13,7.47,7.48
2017-09-28 09:00:00,15.0,0.74,7.23,3.95
2017-09-28 10:00:00,5.5,0.92,7.85,4.55
2017-09-28 11:00:00,13.0,0.91,7.65,5.25
2017-09-28 12:00:00,10.25,1.11,7.25,5.35
2017-09-28 13:00:00,7.5,0.93,7.72,3.97
2017-09-28 14:00:00,7.75,0.99,7.65,3.57
2017-09-28 15:00:00,11.0,1.05,7.88,5.35
2017-09-28 16:00:00,5.0,1.0,7.7,6.35
2017-09-28 17:00:00,5.0,1.0,7.7,6.35
2017-09-28 18:00:00,15.25,1.29,7.28,11.9
2017-09-28 19:00:00,16.5,1.05,7.25,9.78
2017-09-28 20:00:00,19.5,1.73,7.4,8.55
2017-09-28 21:00:00,27.0,2.13,7.35,7.95
2017-09-28 22:00:00,35.75,1.95,7.55,7.3
2017-09-28 23:00:00,29.0,1.18,7.7,7.1
2017-09-29 00:00:00,10.0,0.92,7.78,5.7
2017-09-29 01:00:00,6.0,0.84,7.67,5.63
2017-09-29 02:00:00,3.0,0.83,7.5,3.65
2017-09-29 03:00:00,0.5,0.81,7.68,4.12
2017-09-29 04:00:00,3.0,0.6,7.9,2.55
2017-09-29 05:00:00,6.0,0.68,7.67,3.82
2017-09-29 06:00:00,8.25,0.77,7.75,4.75
