PM2.5 (ug/m3),CO (mg/m3),Ozone (ug/m3),NOx (ug/m3)
19.5,1.07,8.05,4.5
4.75,0.93,7.75,3.9
18.5,0.84,7.53,3.78
17.0,0.86,7.93,3.95
16.75,0.88,7.25,4.48
15.33,0.89,7.87,4.9
16.25,0.95,7.8,4.25
21.67,0.94,7.67,3.37
19.0,1.04,7.43,6.0
17.75,0.97,7.55,4.97
18.5,1.36,7.65,7.88
31.0,1.3,7.68,6.0
25.33,1.15,7.67,6.33
17.0,1.05,7.9,3.83
8.0,1.06,7.87,5.0
9.25,1.25,7.3,6.8
14.25,0.92,7.63,6.95
19.25,1.0,7.68,9.92
25.5,1.02,7.58,10.45
33.25,1.13,7.65,12.5
31.5,1.18,7.7,11.48
22.0,1.06,7.87,9.47
20.75,0.87,7.6,5.88
29.0,0.82,7.93,5.57
32.25,0.78,7.42,4.35
24.0,0.74,7.5,4.05
14.25,0.72,8.08,4.35
12.5,0.72,7.8,4.25
11.67,0.87,7.77,3.5
5.25,0.89,7.38,3.25
2.5,1.02,7.67,3.83
12.25,1.1,7.33,4.75
19.0,0.95,7.43,5.08
18.0,1.03,7.6,7.2
14.0,0.9,7.9,5.5
10.75,0.87,7.77,5.05
10.0,1.02,7.98,3.17
9.25,1.08,7.58,3.95
5.75,1.05,7.9,3.85
3.5,1.07,7.8,2.9
8.75,1.02,7.9,3.73
12.75,1.19,7.62,7.12
19.75,1.21,7.6,9.88
23.5,1.26,7.73,11.0
18.75,1.05,8.15,6.82
14.75,1.04,7.55,5.75
5.75,0.83,7.6,5.2
8.0,0.8,7.7,3.6
8.0,0.8,7.7,3.6
4.25,0.75,7.68,3.45
4.25,0.75,7.68,3.45
4.25,0.75,7.68,3.45
4.25,0.75,7.68,3.45
4.25,0.75,7.68,3.45
5.0,0.9,7.65,4.55
6.75,1.01,7.28,6.17
16.0,1.13,7.47,7.48
15.0,0.74,7.23,3.95
5.5,0.92,7.85,4.55
13.0,0.91,7.65,5.25
10.25,1.11,7.25,5.35
7.5,0.93,7.72,3.97
7.75,0.99,7.65,3.57
11.0,1.05,7.88,5.35
5.0,1.0,7.7,6.35
5.0,1.0,7.7,6.35
15.25,1.29,7.28,11.9
16.5,1.05,7.25,9.78
19.5,1.73,7.4,8.55
27.0,2.13,7.35,7.95
35.75,1.95,7.55,7.3
29.0,1.18,7.7,7.1
10.0,0.92,7.78,5.7
6.0,0.84,7.67,5.63
3.0,0.83,7.5,3.65
0.5,0.81,7.68,4.12
3.0,0.6,7.9,2.55
6.0,0.68,7.67,3.82
8.25,0.77,7.75,4.75
15.0,0.88,7.43,4.17
35.75,0.83,7.7,3.95
9.75,0.95,7.85,5.0
8.5,0.89,7.75,5.4
14.75,0.82,7.45,4.65
10.67,0.95,7.47,2.97
9.25,1.0,7.6,2.98
6.75,0.99,7.35,2.7
5.5,0.93,7.38,3.18
5.25,0.97,7.88,4.4
10.25,1.09,7.55,4.45
15.25,1.34,7.55,8.55
21.0,1.44,7.5,8.32
24.25,1.28,7.55,8.52
15.0,1.15,7.22,6.62
11.0,1.11,7.63,5.6
10.0,1.03,7.27,4.55
12.75,1.04,7.42,4.67
11.0,1.02,7.38,2.95
10.5,1.04,7.38,3.32
14.75,0.99,7.2,3.35
6.5,0.82,7.83,2.62
10.0,0.82,7.33,2.25
7.0,0.83,7.73,2.47
5.25,0.84,7.77,2.55
4.5,0.86,7.55,2.17
9.5,1.01,7.9,4.05
10.75,1.0,7.73,4.5
9.33,0.93,7.57,3.4
7.5,0.93,7.45,2.57
5.25,0.96,7.65,2.0
3.75,1.02,7.4,2.05
7.0,1.08,7.43,2.32
11.0,0.87,7.83,4.03
16.0,0.88,7.55,4.72
23.0,1.07,7.6,8.5
21.0,0.97,7.65,6.38
9.75,1.15,7.7,6.57
11.25,1.14,7.77,6.4
10.0,0.95,7.7,5.3
13.0,0.81,7.37,4.03
14.5,0.73,7.83,5.35
10.67,0.41,5.0,2.8
10.67,0.41,5.0,2.8
1.25,0.14,1.95,0.93
1.25,0.22,1.83,0.75
3.75,0.21,1.88,0.75
4.75,0.19,1.85,0.47
4.75,0.23,1.88,0.52
4.75,0.23,1.88,0.52
4.75,0.23,1.88,0.52
0.5,0.14,1.92,0.47
0.5,0.14,1.92,0.47
0.5,0.14,1.92,0.47
1.25,0.2,1.95,0.47
1.25,0.2,1.95,0.47
0.5,0.22,1.88,0.6
0.5,0.22,1.88,0.6
0.5,0.22,1.88,0.6
0.5,0.22,1.88,0.6
0.5,0.22,1.88,0.6
3.5,0.15,1.98,1.02
3.5,0.15,1.98,1.02
3.5,0.15,1.98,1.02
3.5,0.15,1.98,1.02
3.5,0.15,1.98,1.02
0.5,0.19,2.05,0.68
0.5,0.19,2.05,0.68
0.5,0.19,2.05,0.68
0.5,0.19,2.05,0.68
0.5,0.19,2.05,0.68
0.5,0.19,2.05,0.68
0.5,0.19,2.05,0.68
0.5,0.19,2.05,0.68
0.5,0.19,2.05,0.68
0.5,0.19,2.05,0.68
0.5,0.19,2.05,0.68
3.75,0.41,3.82,0.98
3.75,0.41,3.82,0.98
3.75,0.41,3.82,0.98
